card_id,field,locale,global_text,current_text,translated_text,status
SUBJECT,subject_name,ar,Shapes 2D,أشكال ثنائية الأبعاد,الأشكال 2D,mismatch
SUBJECT,subject_name,cs,Shapes 2D,2D tvary,Tvary 2D,mismatch
SUBJECT,subject_name,da,Shapes 2D,2D-former,Former 2D,mismatch
SUBJECT,subject_name,el,Shapes 2D,2D σχήματα,Σχήματα 2D,mismatch
SUBJECT,subject_name,et,Shapes 2D,2D kujundid,Kujundid 2D,mismatch
SUBJECT,subject_name,de,Shapes 2D,2D-Formen,Formen 2D,mismatch
SUBJECT,subject_name,fi,Shapes 2D,2D-muodot,Muodot 2D,mismatch
SUBJECT,subject_name,hr,Shapes 2D,2D oblici,Oblici 2D,mismatch
SUBJECT,subject_name,hi,Shapes 2D,2D आकृतियाँ,आकृतियाँ 2D,mismatch
SUBJECT,subject_name,hu,Shapes 2D,2D alakzatok,2D formák,mismatch
SUBJECT,subject_name,bg,Shapes 2D,2D фигури,Форми 2D,mismatch
SUBJECT,subject_name,ja,Shapes 2D,2D図形,2D 形状,mismatch
SUBJECT,subject_name,lv,Shapes 2D,2D formas,Formas 2D,mismatch
SUBJECT,subject_name,lt,Shapes 2D,2D formos,Formos 2D,mismatch
SUBJECT,subject_name,nl,Shapes 2D,2D-vormen,Vormen 2D,mismatch
SUBJECT,subject_name,ko,Shapes 2D,2D 도형,도형 2D,mismatch
SUBJECT,subject_name,sk,Shapes 2D,2D tvary,Tvary 2D,mismatch
SUBJECT,subject_name,sl,Shapes 2D,2D liki,Oblike 2D,mismatch
SUBJECT,subject_name,sv,Shapes 2D,2D-former,Former 2D,mismatch
SUBJECT,subject_name,tr,Shapes 2D,2D Şekiller,Şekiller 2D,mismatch
SUBJECT,subject_name,uk,Shapes 2D,2D фігури,Фігури 2D,mismatch
4b8a83ed-d69a-4590-8ced-20717996f2bc,answer,ar,Parallelogram,متوازي أضلاع,متوازي الأضلاع,mismatch
SUBJECT,subject_name,vi,Shapes 2D,Hình 2D,Hình dạng 2D,mismatch
4b8a83ed-d69a-4590-8ced-20717996f2bc,answer,et,Parallelogram,Rööpkülik,Parallelogramm,mismatch
4b8a83ed-d69a-4590-8ced-20717996f2bc,answer,hi,Parallelogram,समांतर चतुर्भुज,चतुर्भुज,mismatch
4b8a83ed-d69a-4590-8ced-20717996f2bc,answer,id,Parallelogram,Jajaran genjang,Genjang,mismatch
4b8a83ed-d69a-4590-8ced-20717996f2bc,answer,lv,Parallelogram,Paralelograms,Paralelogramma,mismatch
4b8a83ed-d69a-4590-8ced-20717996f2bc,answer,sk,Parallelogram,Rovnobežník,Paralelogram,mismatch
4b8a83ed-d69a-4590-8ced-20717996f2bc,answer,sv,Parallelogram,Parallelogram,Parallellogram,mismatch
4b8a83ed-d69a-4590-8ced-20717996f2bc,prompt,ar,What shape is this?,ما هذا الشكل؟,ما هو هذا الشكل؟,mismatch
4b8a83ed-d69a-4590-8ced-20717996f2bc,prompt,cs,What shape is this?,Jaký je to tvar?,Co je to za tvar?,mismatch
4b8a83ed-d69a-4590-8ced-20717996f2bc,prompt,de,What shape is this?,Welche Form ist das?,Welche Form hat das?,mismatch
4b8a83ed-d69a-4590-8ced-20717996f2bc,prompt,bg,What shape is this?,Каква е тази форма?,Каква форма е това?,mismatch
