item_id,field,locale,global_text,current_text,translated_text,status
SUBJECT,description,ar,Explore foods and cuisines from around the world.,رحلة عبر النكهات العالمية والتقاليد الطهوية.,اكتشف الأطعمة والمأكولات من جميع أنحاء العالم.,mismatch
SUBJECT,description,bg,Explore foods and cuisines from around the world.,Пътешествие през глобални вкусове и кулинарни традиции.,Разгледайте храни и кухни от цял ​​свят.,mismatch
SUBJECT,name,da,Food & Cuisines,Mad og køkkener,Mad & Køkkener,mismatch
SUBJECT,description,cs,Explore foods and cuisines from around the world.,Cesta po světových chutích a kulinářských tradicích.,Prozkoumejte jídla a kuchyně z celého světa.,mismatch
SUBJECT,name,de,Food & Cuisines,Essen & Küchen,Essen & Küche,mismatch
SUBJECT,description,da,Explore foods and cuisines from around the world.,En rejse gennem globale smagsoplevelser og kulinariske traditioner.,Udforsk fødevarer og køkkener fra hele verden.,mismatch
SUBJECT,description,en,Explore foods and cuisines from around the world.,A journey through global flavors and culinary traditions.,Explore foods and cuisines from around the world.,mismatch
SUBJECT,name,el,Food & Cuisines,Φαγητό και κουζίνες,Φαγητό & Κουζίνες,mismatch
SUBJECT,description,de,Explore foods and cuisines from around the world.,Eine Reise durch weltweite Aromen und kulinarische Traditionen.,Entdecken Sie Lebensmittel und Küchen aus der ganzen Welt.,mismatch
SUBJECT,description,es,Explore foods and cuisines from around the world.,Un viaje a través de los sabores globales y las tradiciones culinarias.,Explore alimentos y cocinas de todo el mundo.,mismatch
SUBJECT,description,et,Explore foods and cuisines from around the world.,Rännak läbi maailma maitsete ja kulinaarsete traditsioonide.,Avastage toite ja kööke kogu maailmast.,mismatch
SUBJECT,description,el,Explore foods and cuisines from around the world.,Ένα ταξίδι στις παγκόσμιες γεύσεις και τις γαστρονομικές παραδόσεις.,Εξερευνήστε φαγητά και κουζίνες από όλο τον κόσμο.,mismatch
SUBJECT,description,fr,Explore foods and cuisines from around the world.,Un voyage à travers les saveurs mondiales et les traditions culinaires.,Explorez les aliments et les cuisines du monde entier.,mismatch
SUBJECT,name,fr,Food & Cuisines,Nourriture et cuisines,Alimentation et cuisines,mismatch
SUBJECT,description,fi,Explore foods and cuisines from around the world.,Matka globaaleihin makuihin ja kulinaarisiin perinteisiin.,Tutustu ruokiin ja keittiöihin ympäri maailmaa.,mismatch
SUBJECT,name,fi,Food & Cuisines,Ruoka ja keittiöt,Ruoka & keittiöt,mismatch
SUBJECT,name,hi,Food & Cuisines,भोजन और व्यंजन,भोजन एवं व्यंजन,mismatch
SUBJECT,name,ga,Food & Cuisines,Bia & Cistineacha,Bia & Cuisíní,mismatch
SUBJECT,description,hi,Explore foods and cuisines from around the world.,वैश्विक स्वादों और पाक परंपराओं के माध्यम से एक यात्रा।,दुनिया भर के खाद्य पदार्थों और व्यंजनों का अन्वेषण करें।,mismatch
SUBJECT,description,hr,Explore foods and cuisines from around the world.,Putovanje kroz svjetske okuse i kulinarske tradicije.,Istražite hranu i kuhinje iz cijelog svijeta.,mismatch
SUBJECT,description,ga,Explore foods and cuisines from around the world.,Turas trí bhlasanna domhanda agus traidisiúin chócaireachta.,Déan iniúchadh ar bhianna agus cuisíní ó ar fud an domhain.,mismatch
SUBJECT,name,id,Food & Cuisines,Makanan & Kuliner,Makanan & Masakan,mismatch
SUBJECT,description,id,Explore foods and cuisines from around the world.,Perjalanan melintasi cita rasa global dan tradisi kuliner.,Jelajahi makanan dan masakan dari seluruh dunia.,mismatch
SUBJECT,description,hu,Explore foods and cuisines from around the world.,Utazás a világ ízei és kulináris hagyományai között.,Fedezze fel a világ minden tájáról származó ételeket és konyhákat.,mismatch
SUBJECT,description,it,Explore foods and cuisines from around the world.,Un viaggio tra sapori globali e tradizioni culinarie.,Esplora cibi e cucine da tutto il mondo.,mismatch
SUBJECT,description,ja,Explore foods and cuisines from around the world.,世界の味と料理の伝統を巡る旅。,世界中の食べ物や料理を探索してください。,mismatch
SUBJECT,name,ja,Food & Cuisines,料理と食べ物,食べ物と料理,mismatch
SUBJECT,description,ko,Explore foods and cuisines from around the world.,전 세계의 맛과 요리 전통을 탐험하는 여정.,전 세계의 음식과 요리를 탐색해 보세요.,mismatch
SUBJECT,name,lt,Food & Cuisines,Maistas ir virtuvės,Maistas ir virtuvė,mismatch
SUBJECT,description,lv,Explore foods and cuisines from around the world.,Ceļojums cauri pasaules garšām un kulinārijas tradīcijām.,Izpētiet ēdienus un virtuves ēdienus no visas pasaules.,mismatch
SUBJECT,description,lt,Explore foods and cuisines from around the world.,Kelionė po pasaulio skonius ir kulinarines tradicijas.,Naršykite maisto produktus ir virtuves iš viso pasaulio.,mismatch
SUBJECT,name,lv,Food & Cuisines,Ēdieni un virtuves,Ēdieni un virtuves ēdieni,mismatch
SUBJECT,description,mt,Explore foods and cuisines from around the world.,Vjaġġ permezz ta' togħmiet globali u tradizzjonijiet kulinari.,Esplora ikel u kċejjen minn madwar id-dinja.,mismatch
SUBJECT,description,nl,Explore foods and cuisines from around the world.,Een reis door wereldwijde smaken en culinaire tradities.,Ontdek voedingsmiddelen en keukens van over de hele wereld.,mismatch
SUBJECT,description,pl,Explore foods and cuisines from around the world.,Podróż przez smaki świata i tradycje kulinarne.,Poznaj potrawy i kuchnie z całego świata.,mismatch
SUBJECT,description,pt,Explore foods and cuisines from around the world.,Uma voyage pelos sabores globais e tradições culinárias.,Explore alimentos e culinárias de todo o mundo.,mismatch
SUBJECT,name,ro,Food & Cuisines,Mâncare și bucătării,Mancare si bucatarie,mismatch
SUBJECT,description,ro,Explore foods and cuisines from around the world.,O călătorie prin aromele globale și tradițiile culinare.,Explorați mâncăruri și bucătării din întreaga lume.,mismatch
SUBJECT,description,sk,Explore foods and cuisines from around the world.,Cesta po svetových chutiach a kulinárskych tradíciách.,Preskúmajte jedlá a kuchyne z celého sveta.,mismatch
SUBJECT,description,sl,Explore foods and cuisines from around the world.,Potovanje skozi svetovne okuse in kulinarične tradicije.,Raziščite hrano in kuhinje z vsega sveta.,mismatch
SUBJECT,name,nl,Food & Cuisines,Eten & Keukens,Eten en keukens,mismatch
SUBJECT,name,sv,Food & Cuisines,Mat och kök,Mat & kök,mismatch
SUBJECT,name,tl,Food & Cuisines,Pagkain at mga Lutuin,Pagkain at Mga Pagkain,mismatch
SUBJECT,description,sv,Explore foods and cuisines from around the world.,En resa genom globala smaker och kulinariska traditioner.,Utforska mat och kök från hela världen.,mismatch
