item_id,field,locale,global_text,current_text,translated_text,status
SUBJECT,description,ar,Learn to identify famous paintings and their artists.,تعرف على الروائع الشهيرة وكبار الفنانين.,تعلم كيفية التعرف على اللوحات الشهيرة وفنانيها.,mismatch
SUBJECT,name,ar,Famous Paintings,لوحات شهيرة,اللوحات الشهيرة,mismatch
SUBJECT,description,bg,Learn to identify famous paintings and their artists.,Идентифицирайте емблематични шедьоври и велики художници.,Научете се да идентифицирате известни картини и техните художници.,mismatch
SUBJECT,description,cs,Learn to identify famous paintings and their artists.,Poznejte ikonická mistrovská díla a skvělé umělce.,Naučte se identifikovat slavné obrazy a jejich umělce.,mismatch
SUBJECT,description,da,Learn to identify famous paintings and their artists.,Identificer ikoniske mesterværker og store kunstnere.,Lær at identificere berømte malerier og deres kunstnere.,mismatch
SUBJECT,description,de,Learn to identify famous paintings and their artists.,Identifiziere ikonische Meisterwerke und große Künstler.,"Lernen Sie, berühmte Gemälde und ihre Künstler zu identifizieren.",mismatch
SUBJECT,description,en,Learn to identify famous paintings and their artists.,Identify iconic masterpieces and great artists.,Learn to identify famous paintings and their artists.,mismatch
SUBJECT,name,el,Famous Paintings,Διάσημοι πίνακες,Διάσημοι πίνακες ζωγραφικής,mismatch
SUBJECT,description,el,Learn to identify famous paintings and their artists.,Αναγνωρίστε εμβληματικά αριστουργήματα και μεγάλους καλλιτέχνες.,Μάθετε να αναγνωρίζετε διάσημους πίνακες και τους καλλιτέχνες τους.,mismatch
SUBJECT,description,et,Learn to identify famous paintings and their artists.,Tunne ära ikoonilised meistriteosed ja suured kunstnikud.,Õppige tuvastama kuulsaid maale ja nende kunstnikke.,mismatch
SUBJECT,description,fi,Learn to identify famous paintings and their artists.,Tunnista ikoniset mestariteokset ja suuret taiteilijat.,Opi tunnistamaan kuuluisia maalauksia ja niiden taiteilijoita.,mismatch
SUBJECT,name,fi,Famous Paintings,Kuuluisat maalaukset,Kuuluisia maalauksia,mismatch
SUBJECT,name,hi,Famous Paintings,प्रसिद्ध पेंटिंग,प्रसिद्ध चित्र,mismatch
SUBJECT,description,fr,Learn to identify famous paintings and their artists.,Identifiez des chefs-d'œuvre emblématiques et de grands artistes.,Apprenez à identifier des tableaux célèbres et leurs artistes.,mismatch
SUBJECT,description,es,Learn to identify famous paintings and their artists.,Identifica obras maestras icónicas y grandes artistas.,Aprenda a identificar pinturas famosas y sus artistas.,mismatch
SUBJECT,name,ga,Famous Paintings,Péintéireacht cháiliúil,Péintéireachtaí Cáiliúla,mismatch
SUBJECT,description,ga,Learn to identify famous paintings and their artists.,Aithin sárshaothair íocónacha agus ealaíontóirí iontacha.,Foghlaim pictiúir cáiliúla agus a gcuid ealaíontóirí a aithint.,mismatch
SUBJECT,description,hi,Learn to identify famous paintings and their artists.,प्रतिष्ठित उत्कृष्ट कृतियों और महान कलाकारों को पहचानें।,प्रसिद्ध चित्रों और उनके कलाकारों की पहचान करना सीखें।,mismatch
SUBJECT,description,hu,Learn to identify famous paintings and their artists.,Ismerd fel az ikonikus remekműveket és a nagy művészeket!,Tanuld meg azonosítani a híres festményeket és művészeiket.,mismatch
SUBJECT,description,hr,Learn to identify famous paintings and their artists.,Prepoznajte kultna remek-djela i velike umjetnike.,Naučite prepoznati poznate slike i njihove umjetnike.,mismatch
SUBJECT,description,ja,Learn to identify famous paintings and their artists.,象徴的な傑作と偉大な芸術家を特定しましょう。,有名な絵画とそのアーティストを特定する方法を学びましょう。,mismatch
SUBJECT,description,id,Learn to identify famous paintings and their artists.,Identifikasi mahakarya ikonik dan seniman hebat.,Belajar mengidentifikasi lukisan terkenal dan senimannya.,mismatch
SUBJECT,description,it,Learn to identify famous paintings and their artists.,Identifica capolavori iconici e grandi artisti.,Impara a identificare i dipinti famosi e i loro artisti.,mismatch
SUBJECT,description,lt,Learn to identify famous paintings and their artists.,Atpažinkite žymiausius šedevrus ir didžiuosius menininkus.,Išmokite atpažinti garsius paveikslus ir jų dailininkus.,mismatch
SUBJECT,name,lv,Famous Paintings,Slavenas gleznas,Slavenās gleznas,mismatch
SUBJECT,description,lv,Learn to identify famous paintings and their artists.,Atpazīstiet ikoniskus šedevrus un izcilus māksliniekus.,Iemācieties atpazīt slavenās gleznas un to māksliniekus.,mismatch
SUBJECT,description,ko,Learn to identify famous paintings and their artists.,상징적인 걸작과 위대한 예술가들을 알아보세요.,유명한 그림과 예술가를 식별하는 방법을 알아보세요.,mismatch
SUBJECT,name,lt,Famous Paintings,Garsūs paveikslai,Įžymūs paveikslai,mismatch
SUBJECT,description,mt,Learn to identify famous paintings and their artists.,Identifika kapolavuri ikoniċi u artisti kbar.,Tgħallem tidentifika pitturi famużi u l-artisti tagħhom.,mismatch
SUBJECT,description,nl,Learn to identify famous paintings and their artists.,Herken iconische meesterwerken en grote kunstenaars.,Leer beroemde schilderijen en hun kunstenaars identificeren.,mismatch
SUBJECT,description,pt,Learn to identify famous paintings and their artists.,Identifique obras-primas icônicas e grandes artistas.,Aprenda a identificar pinturas famosas e seus artistas.,mismatch
SUBJECT,description,pl,Learn to identify famous paintings and their artists.,Rozpoznaj kultowe arcydzieła i wielkich artystów.,Naucz się rozpoznawać słynne obrazy i ich artystów.,mismatch
SUBJECT,name,ro,Famous Paintings,Picturi celebre,Tablouri celebre,mismatch
SUBJECT,name,sl,Famous Paintings,Znamenite slike,Znane slike,mismatch
SUBJECT,description,ro,Learn to identify famous paintings and their artists.,Identifică capodopere emblematice și mari artiști.,Învață să identifici picturile celebre și artiștii acestora.,mismatch
SUBJECT,description,sl,Learn to identify famous paintings and their artists.,Prepoznajte ikonične mojstrovine in velike umetnike.,Naučite se prepoznati znane slike in njihove umetnike.,mismatch
SUBJECT,description,sv,Learn to identify famous paintings and their artists.,Identifiera ikoniska mästerverk och stora konstnärer.,Lär dig att identifiera kända målningar och deras konstnärer.,mismatch
SUBJECT,description,sk,Learn to identify famous paintings and their artists.,Spoznajte ikonické majstrovské diela a skvelých umelcov.,Naučte sa identifikovať slávne obrazy a ich umelcov.,mismatch
SUBJECT,description,tr,Learn to identify famous paintings and their artists.,İkonik şaheserleri ve büyük sanatçıları tanıyın.,Ünlü tabloları ve sanatçılarını tanımlamayı öğrenin.,mismatch
SUBJECT,description,tl,Learn to identify famous paintings and their artists.,Kilalanin ang mga iconic na obra maestra at mahuhusay na artista.,Matutong kilalanin ang mga sikat na painting at ang kanilang mga artist.,mismatch
